arrondissement,score_indice_famille,m2_par_habitant,part_T4,score_delinquance
12,63.3,72.6,64.26138123257975,7.7
7,51.0,2.0,73.19012178619757,2.6
8,50.8,3.4,78.56294536817103,6.4
16,48.1,2.8,76.11290017048682,5.8
6,39.6,0.7,65.41935483870968,2.0
17,30.4,1.6,64.77892186553605,5.5
1,30.4,3.2,62.61904761904762,4.5
9,27.5,0.0,63.28694499668654,5.4
4,27.1,2.0,57.250755287009056,2.2
5,27.1,0.4,57.81609195402299,2.2
14,25.9,2.0,59.85985985985987,4.3
15,25.6,1.2,64.97929380993898,7.5
20,25.3,0.7,60.35196687370601,4.6
2,25.2,0.1,56.41025641025641,2.0
3,22.5,0.5,54.36893203883495,1.9
13,20.2,0.2,60.60533841754051,6.7
11,18.6,0.1,57.066766691672925,5.1
19,17.8,0.5,60.37567084078712,7.6
10,7.8,0.5,55.26946107784431,8.4
18,0.7,1.3,52.97046133421839,10.0
