arrondissement,score_indice_investisseur,croissance_pct,densite_hab_km2,prix_2024
2,64.4,7.97,19400,14531.387520525452
11,62.5,-8.65,42300,10352.941176470587
19,59.3,-7.44,31400,8571.42857142857
20,54.8,-11.8,36300,8694.155844155845
13,54.4,-10.22,33300,9038.46153846154
15,53.2,-7.69,29100,10000.0
8,48.5,7.24,9400,16681.818181818184
18,47.6,-15.76,37600,8913.729128014842
5,45.9,-4.57,20300,12250.0
3,45.7,-8.12,28000,12291.666666666666
10,41.4,-17.11,35700,9602.920863309351
14,40.9,-13.38,27000,9624.5
17,40.0,-12.81,26500,10244.444444444443
16,38.2,-6.79,14400,11369.86301369863
12,37.8,-12.83,21500,9285.714285714286
4,36.4,-9.83,23300,12952.380952380952
9,35.2,-12.08,22500,11309.52380952381
7,33.1,-3.33,11000,15000.0
1,27.8,-11.11,17700,13333.333333333334
6,13.0,-15.73,17400,15474.166666666668
