arrondissement,score_indice_pulse,no2_moyen,densite_hab_km2,m2_par_habitant,score_delinquance,coefficient_variation_prix
12,53.5,36.3,21500,72.6,7.7,0.0652
7,43.8,34.9,11000,2.0,2.6,0.174
1,43.6,34.6,17700,3.2,4.5,0.0725
6,43.3,34.1,17400,0.7,2.0,0.1044
14,41.5,33.5,27000,2.0,4.3,0.069
5,40.6,34.5,20300,0.4,2.2,0.047
4,39.6,35.3,23300,2.0,2.2,0.0738
2,37.8,35.2,19400,0.1,2.0,0.0623
8,36.5,36.0,9400,3.4,6.4,0.0993
3,36.1,35.1,28000,0.5,1.9,0.0399
15,34.4,33.1,29100,1.2,7.5,0.0629
16,34.1,36.3,14400,2.8,5.8,0.0634
9,33.0,35.2,22500,0.0,5.4,0.0641
20,25.7,36.1,36300,0.7,4.6,0.0637
17,22.3,37.2,26500,1.6,5.5,0.0618
13,21.0,34.9,33300,0.2,6.7,0.5524
10,20.8,36.1,35700,0.5,8.4,0.0838
11,18.1,36.1,42300,0.1,5.1,0.0564
19,15.0,37.4,31400,0.5,7.6,0.0629
18,13.3,36.7,37600,1.3,10.0,0.0825
