arrondissement,score_indice_respire,no2_moyen,m2_par_habitant,densite_hab_km2
12,62.9,36.3,72.6,21500
15,48.7,33.1,1.2,29100
14,46.7,33.5,2.0,27000
6,46.2,34.1,0.7,17400
7,43.4,34.9,2.0,11000
1,42.8,34.6,3.2,17700
5,40.6,34.5,0.4,20300
8,34.9,36.0,3.4,9400
2,34.4,35.2,0.1,19400
9,32.5,35.2,0.0,22500
4,32.2,35.3,2.0,23300
3,30.4,35.1,0.5,28000
13,28.8,34.9,0.2,33300
16,28.7,36.3,2.8,14400
10,16.4,36.1,0.5,35700
20,16.1,36.1,0.7,36300
17,12.3,37.2,1.6,26500
11,12.1,36.1,0.1,42300
18,10.1,36.7,1.3,37600
19,6.9,37.4,0.5,31400
