arrondissement,annee,nb_programmes,nb_logements,nb_logements_cumule,insee_log,part_logements_sociaux_pct
1,2005,1,4,4,,
1,2007,2,26,30,,
1,2008,9,73,103,,
1,2010,3,23,126,,
1,2011,3,59,185,,
1,2012,2,21,206,,
1,2013,2,9,215,,
1,2014,2,13,228,,
1,2016,2,31,259,,
1,2018,2,35,294,,
1,2022,1,14,308,13891.0,2.22
1,2023,1,6,314,13891.0,2.26
2,2002,1,1,1,,
2,2004,4,39,40,,
2,2005,1,2,42,,
2,2006,3,40,82,,
2,2007,1,11,93,,
2,2008,1,10,103,,
2,2009,1,18,121,,
2,2010,2,10,131,,
2,2011,2,16,147,,
2,2012,1,13,160,,
2,2014,2,31,191,,
2,2016,1,2,193,,
2,2017,1,2,195,,
2,2018,1,19,214,,
2,2021,1,32,246,17345.0,1.42
2,2023,1,4,250,17345.0,1.44
2,2024,1,18,268,17345.0,1.55
3,2001,1,47,47,,
3,2002,2,54,101,,
3,2003,1,75,176,,
3,2004,2,39,215,,
3,2005,2,24,239,,
3,2006,1,8,247,,
3,2007,4,28,275,,
3,2008,5,38,313,,
3,2009,2,26,339,,
3,2010,1,8,347,,
3,2012,2,22,369,,
3,2013,3,5,374,,
3,2014,2,112,486,,
3,2015,1,4,490,,
3,2016,4,107,597,,
3,2017,1,13,610,,
3,2018,1,1,611,,
3,2019,1,15,626,,
3,2021,3,33,659,26325.0,2.5
3,2022,3,21,680,26325.0,2.58
3,2023,3,30,710,26325.0,2.7
3,2024,1,10,720,26325.0,2.74
4,2003,1,13,13,,
4,2004,2,24,37,,
4,2006,3,33,70,,
4,2007,2,13,83,,
4,2008,9,86,169,,
4,2009,3,110,279,,
4,2010,1,7,286,,
4,2011,7,258,544,,
4,2012,4,8,552,,
4,2014,2,16,568,,
4,2015,5,78,646,,
4,2016,1,1,647,,
4,2017,6,105,752,,
4,2018,1,1,753,,
4,2019,1,13,766,,
4,2021,1,12,778,22923.0,3.39
4,2022,1,3,781,22923.0,3.41
4,2023,4,74,855,22923.0,3.73
5,2002,2,73,73,,
5,2003,4,56,129,,
5,2006,2,25,154,,
5,2008,2,199,353,,
5,2009,2,26,379,,
5,2010,3,5,384,,
5,2011,3,26,410,,
5,2012,3,14,424,,
5,2013,2,42,466,,
5,2014,3,123,589,,
5,2015,1,15,604,,
5,2016,1,2,606,,
5,2017,1,1,607,,
5,2018,2,61,668,,
5,2021,1,12,680,39903.0,1.7
5,2022,2,34,714,39903.0,1.79
5,2024,3,63,777,39903.0,1.95
6,2007,1,23,23,,
6,2009,2,13,36,,
6,2010,1,70,106,,
6,2011,2,56,162,,
6,2012,1,11,173,,
6,2014,1,16,189,,
6,2015,1,12,201,,
6,2016,1,8,209,,
6,2017,9,39,248,,
6,2018,3,68,316,,
6,2023,1,48,364,31682.0,1.15
6,2024,1,8,372,31682.0,1.17
7,2002,1,1,1,,
7,2004,2,15,16,,
7,2005,3,113,129,,
7,2007,2,34,163,,
7,2012,1,50,213,,
7,2016,1,1,214,,
7,2017,2,274,488,,
7,2024,1,4,492,39397.0,1.25
8,2001,2,70,70,,
8,2004,1,10,80,,
8,2005,1,13,93,,
8,2007,3,40,133,,
8,2010,2,29,162,,
8,2011,1,35,197,,
8,2012,1,2,199,,
8,2013,2,2,201,,
8,2014,1,53,254,,
8,2015,1,84,338,,
8,2016,1,3,341,,
8,2018,1,52,393,,
8,2021,1,25,418,27402.0,1.53
8,2023,1,10,428,27402.0,1.56
9,2001,2,2,2,,
9,2002,5,63,65,,
9,2003,2,38,103,,
9,2004,2,35,138,,
9,2005,1,43,181,,
9,2006,3,70,251,,
9,2007,4,54,305,,
9,2008,2,155,460,,
9,2009,3,48,508,,
9,2010,4,39,547,,
9,2011,1,48,595,,
9,2012,5,37,632,,
9,2013,2,35,667,,
9,2014,3,54,721,,
9,2015,1,2,723,,
9,2016,4,16,739,,
9,2017,1,15,754,,
9,2018,2,3,757,,
9,2019,1,1,758,,
9,2020,4,68,826,40793.0,2.02
9,2021,1,1,827,40905.0,2.02
9,2023,1,15,842,40905.0,2.06
9,2024,1,14,856,40905.0,2.09
10,2001,2,122,122,,
10,2002,2,21,143,,
10,2004,5,105,248,,
10,2005,7,175,423,,
10,2006,3,32,455,,
10,2007,9,221,676,,
10,2008,9,281,957,,
10,2009,3,41,998,,
10,2010,10,377,1375,,
10,2012,7,212,1587,,
10,2013,4,44,1631,,
10,2014,5,77,1708,,
10,2015,19,179,1887,,
10,2016,2,35,1922,,
10,2017,6,156,2078,,
10,2018,3,33,2111,,
10,2019,4,92,2203,,
10,2020,4,38,2241,59778.0,3.75
10,2021,1,32,2273,59900.0,3.79
10,2022,2,47,2320,59900.0,3.87
10,2023,4,139,2459,59900.0,4.11
10,2024,3,34,2493,59900.0,4.16
11,2001,2,23,23,,
11,2002,5,189,212,,
11,2003,6,235,447,,
11,2004,11,287,734,,
11,2005,9,76,810,,
11,2006,9,238,1048,,
11,2007,14,216,1264,,
11,2008,6,159,1423,,
11,2009,5,72,1495,,
11,2010,8,164,1659,,
11,2011,6,119,1778,,
11,2012,9,262,2040,,
11,2013,3,66,2106,,
11,2014,4,57,2163,,
11,2015,9,144,2307,,
11,2016,8,132,2439,,
11,2017,5,134,2573,,
11,2018,11,333,2906,,
11,2019,6,26,2932,,
11,2020,4,149,3081,101167.0,3.05
11,2021,6,87,3168,101305.0,3.13
11,2022,4,14,3182,101305.0,3.14
11,2023,4,109,3291,101305.0,3.25
11,2024,2,31,3322,101305.0,3.28
12,2001,5,156,156,,
12,2002,2,23,179,,
12,2003,3,129,308,,
12,2004,4,579,887,,
12,2005,6,143,1030,,
12,2006,6,260,1290,,
12,2007,7,445,1735,,
12,2008,7,108,1843,,
12,2009,4,129,1972,,
12,2010,8,271,2243,,
12,2011,6,59,2302,,
12,2012,3,37,2339,,
12,2013,5,398,2737,,
12,2014,6,110,2847,,
12,2015,5,212,3059,,
12,2016,9,290,3349,,
12,2017,5,641,3990,,
12,2018,6,72,4062,,
12,2019,3,3,4065,,
12,2020,1,81,4146,87660.0,4.73
12,2021,6,383,4529,88078.0,5.14
12,2022,5,259,4788,88078.0,5.44
12,2023,5,163,4951,88078.0,5.62
12,2024,3,271,5222,88078.0,5.93
13,2001,2,98,98,,
13,2002,3,180,278,,
13,2003,2,30,308,,
13,2004,5,189,497,,
13,2005,2,32,529,,
13,2006,9,336,865,,
13,2007,7,143,1008,,
13,2008,13,486,1494,,
13,2009,10,398,1892,,
13,2010,5,195,2087,,
13,2011,10,455,2542,,
13,2012,10,458,3000,,
13,2013,8,623,3623,,
13,2014,5,73,3696,,
13,2015,8,256,3952,,
13,2016,7,1001,4953,,
13,2017,6,39,4992,,
13,2018,9,959,5951,,
13,2019,11,85,6036,,
13,2020,10,30,6066,106833.0,5.68
13,2021,7,176,6242,106903.0,5.84
13,2022,5,295,6537,106903.0,6.11
13,2023,6,34,6571,106903.0,6.15
13,2024,6,30,6601,106903.0,6.17
14,2001,1,38,38,,
14,2002,4,39,77,,
14,2003,3,173,250,,
14,2004,4,48,298,,
14,2005,2,131,429,,
14,2006,2,59,488,,
14,2007,6,429,917,,
14,2008,4,111,1028,,
14,2009,6,129,1157,,
14,2010,7,303,1460,,
14,2011,2,112,1572,,
14,2012,6,38,1610,,
14,2013,4,333,1943,,
