arrondissement,annee,prix_m2_median,nb_ventes
1,2020,15000.0,652
1,2021,14798.076923076922,280
1,2022,15000.0,541
1,2023,13518.518518518518,191
1,2024,13333.333333333334,311
1,2025,12628.493081488697,208
2,2020,13458.710407239818,1332
2,2021,12430.573761854583,366
2,2022,12677.053179824561,734
2,2023,13676.470588235294,252
2,2024,14531.387520525452,446
2,2025,12519.833333333332,334
3,2020,13378.676470588234,1044
3,2021,13030.30303030303,481
3,2022,12940.74074074074,949
3,2023,12861.003861003861,426
3,2024,12291.666666666666,545
3,2025,12000.0,381
4,2020,14364.242424242424,1145
4,2021,13333.333333333334,321
4,2022,14201.263157894737,754
4,2023,15395.205479452055,358
4,2024,12952.380952380952,419
4,2025,12686.567164179105,315
5,2020,12836.309523809523,1104
5,2021,11953.846153846154,12
5,2022,13073.076923076924,1755
5,2023,12698.412698412698,1849
5,2024,12250.0,2507
5,2025,11538.461538461539,234
6,2020,18362.678787878787,1290
6,2021,16046.380090497738,2
6,2022,15625.0,1709
6,2023,19183.40206185567,2301
6,2024,15474.166666666668,2576
6,2025,14946.42857142857,223
7,2020,15517.472527472528,1212
7,2021,21836.73469387755,5
7,2022,15333.333333333334,1918
7,2023,14876.916666666666,1953
7,2024,15000.0,2794
7,2025,14375.833333333332,268
8,2020,15555.555555555555,1446
8,2021,14738.048780487805,592
8,2022,16817.999196464443,1512
8,2023,17183.673469387755,545
8,2024,16681.818181818184,952
8,2025,13098.0783045977,540
9,2020,12863.636363636364,2646
9,2021,12053.28798185941,840
9,2022,12322.108013937283,1770
9,2023,10833.333333333334,489
9,2024,11309.52380952381,913
9,2025,12511.627906976744,829
10,2020,11585.642857142857,3700
10,2021,10671.679197994988,1140
10,2022,10903.536585365853,2240
10,2023,9536.727586206896,637
10,2024,9602.920863309353,1019
10,2025,9583.333333333334,839
11,2020,11333.333333333334,5050
11,2021,10863.636363636364,15
11,2022,11296.296296296296,5129
11,2023,10380.952380952382,4573
11,2024,10352.941176470587,7312
11,2025,9800.0,587
12,2020,10652.972972972973,3243
12,2021,11149.516666666666,16
12,2022,10187.5,3103
12,2023,9747.727272727272,3348
12,2024,9285.714285714286,4562
12,2025,9964.39393939394,577
13,2020,10067.567567567568,1715
13,2021,25710.052631578947,18
13,2022,9857.142857142857,2629
13,2023,9333.333333333334,3260
13,2024,9038.461538461539,4183
13,2025,8619.163763066203,360
14,2020,11111.111111111111,1123
14,2021,11247.18309859155,17
14,2022,10700.0,2880
14,2023,10172.413793103447,3254
14,2024,9624.5,4033
14,2025,9617.055944055945,484
15,2020,10833.333333333334,2003
15,2021,11307.560975609756,29
15,2022,10875.471698113208,6299
15,2023,10000.0,5512
15,2024,10000.0,8562
15,2025,9618.463302752294,802
16,2020,12198.636363636364,1848
16,2021,13255.0,33
16,2022,12149.532710280373,4911
16,2023,11769.28147659855,4730
16,2024,11369.86301369863,6661
16,2025,11105.172413793103,682
17,2020,11750.0,3474
17,2021,11566.666666666666,1755
17,2022,11682.35294117647,3391
17,2023,11564.832089552237,1332
17,2024,10244.444444444445,1643
17,2025,10377.656518010292,1240
18,2020,10581.818181818182,4282
18,2021,10629.545454545454,1995
18,2022,10442.810457516342,4084
18,2023,10446.964017991006,1718
18,2024,8913.729128014842,1740
18,2025,8956.439393939394,1422
19,2020,9260.0,3138
19,2021,9604.987714987716,1018
19,2022,9444.444444444445,1995
19,2023,9732.850241545893,984
19,2024,8571.42857142857,1195
19,2025,8325.940860215054,696
20,2020,9857.142857142857,3569
20,2021,9857.142857142857,1223
20,2022,9618.181818181818,2519
20,2023,8940.285204991087,792
20,2024,8694.155844155845,1410
20,2025,8572.670807453414,968
