arrondissement,no2_moyen,o3_moyen,pm10_moyen,annee,indice_exposition_pollution
1,34.6,37.0,31.4,2018,10.81
2,35.2,37.4,32.0,2018,352.0
3,35.1,37.4,31.8,2018,70.2
4,35.3,37.5,31.8,2018,17.65
5,34.5,37.5,31.6,2018,86.25
6,34.1,37.4,31.4,2018,48.71
7,34.9,37.3,31.6,2018,17.45
8,36.0,37.4,32.0,2018,10.59
9,35.2,37.6,31.6,2018,
10,36.1,38.1,32.3,2018,72.2
11,36.1,38.0,32.1,2018,361.0
12,36.3,38.5,32.0,2018,0.5
13,34.9,38.3,31.9,2018,174.5
14,33.5,38.1,31.4,2018,16.75
15,33.1,37.9,31.2,2018,27.58
16,36.3,37.7,32.2,2018,12.96
17,37.2,38.1,32.4,2018,23.25
18,36.7,38.7,32.2,2018,28.23
19,37.4,38.7,32.4,2018,74.8
20,36.1,38.3,31.8,2018,51.57
