arrondissement,score_qualite_vie,no2_moyen,m2_par_habitant,score_delinquance,densite_hab_km2
6,54.6,34.1,0.7,2.0,17400
14,53.2,33.5,2.0,4.3,27000
12,51.2,36.3,72.6,7.7,21500
15,49.5,33.1,1.2,7.5,29100
5,49.4,34.5,0.4,2.2,20300
7,48.4,34.9,2.0,2.6,11000
1,45.8,34.6,3.2,4.5,17700
2,43.5,35.2,0.1,2.0,19400
3,42.1,35.1,0.5,1.9,28000
4,41.7,35.3,2.0,2.2,23300
9,35.7,35.2,0.0,5.4,22500
13,32.7,34.9,0.2,6.7,33300
8,31.6,36.0,3.4,6.4,9400
16,28.3,36.3,2.8,5.8,14400
20,25.0,36.1,0.7,4.6,36300
11,21.9,36.1,0.1,5.1,42300
10,17.5,36.1,0.5,8.4,35700
17,16.3,37.2,1.6,5.5,26500
18,8.5,36.7,1.3,10.0,37600
19,8.3,37.4,0.5,7.6,31400
